S.No,PROVINCE ,DIVISION,DISTRICT ,TEHSIL ,TEHSIL - CODE,UC  CODE,UC NO,UC NAME,LATITUDE,LONGITUDE,UC_UR,LOCALITIES_NO,VILLAGE NO,VILLAGE CODE,VILLAGES
6544,BALOCHISTAN,KALAT DIVISION,AWARAN DISTRICT,GISHKORE TEHSIL,5114,511411,1,GISHKORE,26.2467213,64.7361463,Rural,35,33,51141133,WARD NO9 HORE GHARBI MURAD MUHAMAD BAZAR
6545,BALOCHISTAN,KALAT DIVISION,AWARAN DISTRICT,GISHKORE TEHSIL,5114,511411,1,GISHKORE,26.2467213,64.7361463,Rural,35,32,51141132,WARD NO9 HORE GHARBI LAL JAN BAZAR
6546,BALOCHISTAN,KALAT DIVISION,AWARAN DISTRICT,GISHKORE TEHSIL,5114,511411,1,GISHKORE,26.2467213,64.7361463,Rural,35,31,51141131,WARD NO9 HAJI ABAD
6547,BALOCHISTAN,KALAT DIVISION,AWARAN DISTRICT,GISHKORE TEHSIL,5114,511411,1,GISHKORE,26.2467213,64.7361463,Rural,35,30,51141130,WARD NO8 SHAHI
6549,BALOCHISTAN,KALAT DIVISION,AWARAN DISTRICT,GISHKORE TEHSIL,5114,511411,1,GISHKORE,26.2467213,64.7361463,Rural,35,29,51141129,WARD NO8 HORE GARBI GHULAM SARWAR BAZAR
6550,BALOCHISTAN,KALAT DIVISION,AWARAN DISTRICT,GISHKORE TEHSIL,5114,511411,1,GISHKORE,26.2467213,64.7361463,Rural,35,28,51141128,WARD NO8 DODAR
6551,BALOCHISTAN,KALAT DIVISION,AWARAN DISTRICT,GISHKORE TEHSIL,5114,511411,1,GISHKORE,26.2467213,64.7361463,Rural,35,27,51141127,WARD NO7 HORE SHARKI (SAKHI DAD BAZAR)
6552,BALOCHISTAN,KALAT DIVISION,AWARAN DISTRICT,GISHKORE TEHSIL,5114,511411,1,GISHKORE,26.2467213,64.7361463,Rural,35,26,51141126,WARD NO6 HORE SHARKI (RAZAI BAZAR)
6554,BALOCHISTAN,KALAT DIVISION,AWARAN DISTRICT,GISHKORE TEHSIL,5114,511411,1,GISHKORE,26.2467213,64.7361463,Rural,35,25,51141125,WARD NO5 REKCHAI-II
6555,BALOCHISTAN,KALAT DIVISION,AWARAN DISTRICT,GISHKORE TEHSIL,5114,511411,1,GISHKORE,26.2467213,64.7361463,Rural,35,24,51141124,WARD NO5 REKCHAI-I
6557,BALOCHISTAN,KALAT DIVISION,AWARAN DISTRICT,GISHKORE TEHSIL,5114,511411,1,GISHKORE,26.2467213,64.7361463,Rural,35,23,51141123,WARD NO4 MARAH OTAN II
6559,BALOCHISTAN,KALAT DIVISION,AWARAN DISTRICT,GISHKORE TEHSIL,5114,511411,1,GISHKORE,26.2467213,64.7361463,Rural,35,22,51141122,WARD NO4 MARAH OTAN GHARBI YAR MUHAMMAD
6560,BALOCHISTAN,KALAT DIVISION,AWARAN DISTRICT,GISHKORE TEHSIL,5114,511411,1,GISHKORE,26.2467213,64.7361463,Rural,35,21,51141121,WARD NO4 MARAH OTAN
6561,BALOCHISTAN,KALAT DIVISION,AWARAN DISTRICT,GISHKORE TEHSIL,5114,511411,1,GISHKORE,26.2467213,64.7361463,Rural,35,20,51141120,WARD NO4  MARAH OTAN ATTA MUHAMMAD BAZAR
6562,BALOCHISTAN,KALAT DIVISION,AWARAN DISTRICT,GISHKORE TEHSIL,5114,511411,1,GISHKORE,26.2467213,64.7361463,Rural,35,19,51141119,WARD NO3 NOKJO
6563,BALOCHISTAN,KALAT DIVISION,AWARAN DISTRICT,GISHKORE TEHSIL,5114,511411,1,GISHKORE,26.2467213,64.7361463,Rural,35,18,51141118,WARD NO3 JADAIN III
6564,BALOCHISTAN,KALAT DIVISION,AWARAN DISTRICT,GISHKORE TEHSIL,5114,511411,1,GISHKORE,26.2467213,64.7361463,Rural,35,17,51141117,WARD NO3 JADAIN II
6565,BALOCHISTAN,KALAT DIVISION,AWARAN DISTRICT,GISHKORE TEHSIL,5114,511411,1,GISHKORE,26.2467213,64.7361463,Rural,35,16,51141116,WARD NO3 JADAIN I
6566,BALOCHISTAN,KALAT DIVISION,AWARAN DISTRICT,GISHKORE TEHSIL,5114,511411,1,GISHKORE,26.2467213,64.7361463,Rural,35,15,51141115,WARD NO3 GISHKORE
6567,BALOCHISTAN,KALAT DIVISION,AWARAN DISTRICT,GISHKORE TEHSIL,5114,511411,1,GISHKORE,26.2467213,64.7361463,Rural,35,14,51141114,WARD NO2 ZEEK III
6568,BALOCHISTAN,KALAT DIVISION,AWARAN DISTRICT,GISHKORE TEHSIL,5114,511411,1,GISHKORE,26.2467213,64.7361463,Rural,35,13,51141113,WARD NO2 ZEEK I
6569,BALOCHISTAN,KALAT DIVISION,AWARAN DISTRICT,GISHKORE TEHSIL,5114,511411,1,GISHKORE,26.2467213,64.7361463,Rural,35,12,51141112,WARD NO10 TANZALA
6570,BALOCHISTAN,KALAT DIVISION,AWARAN DISTRICT,GISHKORE TEHSIL,5114,511411,1,GISHKORE,26.2467213,64.7361463,Rural,35,11,51141111,WARD NO10 SOKAL
6571,BALOCHISTAN,KALAT DIVISION,AWARAN DISTRICT,GISHKORE TEHSIL,5114,511411,1,GISHKORE,26.2467213,64.7361463,Rural,35,10,51141110,WARD NO10 MERGI
6572,BALOCHISTAN,KALAT DIVISION,AWARAN DISTRICT,GISHKORE TEHSIL,5114,511411,1,GISHKORE,26.2467213,64.7361463,Rural,35,9,5114119,WARD NO10 KAINACHI
6573,BALOCHISTAN,KALAT DIVISION,AWARAN DISTRICT,GISHKORE TEHSIL,5114,511411,1,GISHKORE,26.2467213,64.7361463,Rural,35,8,5114118,WARD NO10 JOI MERGI
6574,BALOCHISTAN,KALAT DIVISION,AWARAN DISTRICT,GISHKORE TEHSIL,5114,511411,1,GISHKORE,26.2467213,64.7361463,Rural,35,7,5114117,WARD NO10 JOI ILYAS
6575,BALOCHISTAN,KALAT DIVISION,AWARAN DISTRICT,GISHKORE TEHSIL,5114,511411,1,GISHKORE,26.2467213,64.7361463,Rural,35,6,5114116,WARD NO10 JOE MAKKI
6576,BALOCHISTAN,KALAT DIVISION,AWARAN DISTRICT,GISHKORE TEHSIL,5114,511411,1,GISHKORE,26.2467213,64.7361463,Rural,35,5,5114115,WARD NO10 JOE JORI
6577,BALOCHISTAN,KALAT DIVISION,AWARAN DISTRICT,GISHKORE TEHSIL,5114,511411,1,GISHKORE,26.2467213,64.7361463,Rural,35,4,5114114,WARD NO10 JALAMBI
6578,BALOCHISTAN,KALAT DIVISION,AWARAN DISTRICT,GISHKORE TEHSIL,5114,511411,1,GISHKORE,26.2467213,64.7361463,Rural,35,3,5114113,WARD NO10 CHAMBUR
6579,BALOCHISTAN,KALAT DIVISION,AWARAN DISTRICT,GISHKORE TEHSIL,5114,511411,1,GISHKORE,26.2467213,64.7361463,Rural,35,2,5114112,WARD NO1 ZEEK IV
6599,BALOCHISTAN,KALAT DIVISION,AWARAN DISTRICT,GISHKORE TEHSIL,5114,511411,1,GISHKORE,26.2467213,64.7361463,Rural,35,1,5114111,WARD NO 2 ZEEK II
6644,BALOCHISTAN,KALAT DIVISION,AWARAN DISTRICT,MASHKAI TEHSIL,5112,511222,2,MC GAJJAR,27.1146033,65.5574933,Urban,32,32,51122232,ZAHEER ABAD
6645,BALOCHISTAN,KALAT DIVISION,AWARAN DISTRICT,MASHKAI TEHSIL,5112,511222,2,MC GAJJAR,27.1146033,65.5574933,Urban,32,31,51122231,THANJO
6646,BALOCHISTAN,KALAT DIVISION,AWARAN DISTRICT,MASHKAI TEHSIL,5112,511222,2,MC GAJJAR,27.1146033,65.5574933,Urban,32,30,51122230,TARAJ
6647,BALOCHISTAN,KALAT DIVISION,AWARAN DISTRICT,MASHKAI TEHSIL,5112,511222,2,MC GAJJAR,27.1146033,65.5574933,Urban,32,29,51122229,SORKO
6648,BALOCHISTAN,KALAT DIVISION,AWARAN DISTRICT,MASHKAI TEHSIL,5112,511222,2,MC GAJJAR,27.1146033,65.5574933,Urban,32,28,51122228,SHOOR MASS
6649,BALOCHISTAN,KALAT DIVISION,AWARAN DISTRICT,MASHKAI TEHSIL,5112,511222,2,MC GAJJAR,27.1146033,65.5574933,Urban,32,27,51122227,SHARIKI
6650,BALOCHISTAN,KALAT DIVISION,AWARAN DISTRICT,MASHKAI TEHSIL,5112,511222,2,MC GAJJAR,27.1146033,65.5574933,Urban,32,26,51122226,SAYYAD ABAD
6651,BALOCHISTAN,KALAT DIVISION,AWARAN DISTRICT,MASHKAI TEHSIL,5112,511222,2,MC GAJJAR,27.1146033,65.5574933,Urban,32,25,51122225,SARAP
6652,BALOCHISTAN,KALAT DIVISION,AWARAN DISTRICT,MASHKAI TEHSIL,5112,511222,2,MC GAJJAR,27.1146033,65.5574933,Urban,32,24,51122224,RAHEEM ABAD
6653,BALOCHISTAN,KALAT DIVISION,AWARAN DISTRICT,MASHKAI TEHSIL,5112,511222,2,MC GAJJAR,27.1146033,65.5574933,Urban,32,23,51122223,PAGGUD
6654,BALOCHISTAN,KALAT DIVISION,AWARAN DISTRICT,MASHKAI TEHSIL,5112,511222,2,MC GAJJAR,27.1146033,65.5574933,Urban,32,22,51122222,NALI
