PROVINCE,DIVISION,DISTRICT,TEHSIL,TEHSIL CODE,UC,UC OFFICIAL,UC_UR,UC NUMBER,UC_Code,LATITUDE,LONGITUDE,NUMBER OF VILLAGES,V.NO,V.CODE,VILLAGE NAME
ISLAMABAD CAPITAL TERRITORY,ISLAMABAD,ISLAMABAD DISTRICT,ISLAMABAD TEHSIL,6111,UC N0. 74 Tarnol ,UC N0. 74 Tarnol ,2,7,611127,33.64986503,72.90432601,1,1,6111271,UC N0. 74 Tarnol 
ISLAMABAD CAPITAL TERRITORY,ISLAMABAD,ISLAMABAD DISTRICT,ISLAMABAD TEHSIL,6111,UC N0. 75 Sangjani,UC N0. 75 Sangjani,2,8,611128,33.67481823,72.8475523,1,1,6111281,UC N0. 75 Sangjani
ISLAMABAD CAPITAL TERRITORY,ISLAMABAD,ISLAMABAD DISTRICT,ISLAMABAD TEHSIL,6111,UC N0. 76 Saraye Kharboza,UC N0. 76 Saraye Kharboza,2,9,611129,33.68097096,72.90454843,1,1,6111291,UC N0. 76 Saraye Kharboza
ISLAMABAD CAPITAL TERRITORY,ISLAMABAD,ISLAMABAD DISTRICT,ISLAMABAD TEHSIL,6111,UC No.1 SAIDPUR,UC No.1 SAIDPUR,2,10,6111210,33.75213980,73.05564920,3,3,61112103,SAIDPUR
ISLAMABAD CAPITAL TERRITORY,ISLAMABAD,ISLAMABAD DISTRICT,ISLAMABAD TEHSIL,6111,UC No.1 SAIDPUR,UC No.1 SAIDPUR,2,10,6111210,33.75213980,73.05564920,3,2,61112102,TALHAR
ISLAMABAD CAPITAL TERRITORY,ISLAMABAD,ISLAMABAD DISTRICT,ISLAMABAD TEHSIL,6111,UC No.1 SAIDPUR,UC No.1 SAIDPUR,2,10,6111210,33.75213980,73.05564920,3,1,61112101,GOKINA
ISLAMABAD CAPITAL TERRITORY,ISLAMABAD,ISLAMABAD DISTRICT,ISLAMABAD TEHSIL,6111,UC No.10 Tumair,UC No.10 Tumair,2,11,6111211,33.67292446,73.28314299,1,1,61112111,UC No.10 Tumair
ISLAMABAD CAPITAL TERRITORY,ISLAMABAD,ISLAMABAD DISTRICT,ISLAMABAD TEHSIL,6111,UC No.11 Charah,UC No.11 Charah,2,12,6111212,33.64866002,73.2848681,1,1,61112121,UC No.11 Charah
ISLAMABAD CAPITAL TERRITORY,ISLAMABAD,ISLAMABAD DISTRICT,ISLAMABAD TEHSIL,6111,UC No.14 Sihala,UC No.14 Sihala,2,13,6111213,33.55817170,73.14051550,23,23,611121323,PWD
ISLAMABAD CAPITAL TERRITORY,ISLAMABAD,ISLAMABAD DISTRICT,ISLAMABAD TEHSIL,6111,UC No.14 Sihala,UC No.14 Sihala,2,13,6111213,33.55817170,73.14051550,23,22,611121322,BHARIA TOWN
ISLAMABAD CAPITAL TERRITORY,ISLAMABAD,ISLAMABAD DISTRICT,ISLAMABAD TEHSIL,6111,UC No.14 Sihala,UC No.14 Sihala,2,13,6111213,33.55817170,73.14051550,23,21,611121321,SOAN GARDEN
ISLAMABAD CAPITAL TERRITORY,ISLAMABAD,ISLAMABAD DISTRICT,ISLAMABAD TEHSIL,6111,UC No.14 Sihala,UC No.14 Sihala,2,13,6111213,33.55817170,73.14051550,23,20,611121320,RIVER GARDEN
ISLAMABAD CAPITAL TERRITORY,ISLAMABAD,ISLAMABAD DISTRICT,ISLAMABAD TEHSIL,6111,UC No.14 Sihala,UC No.14 Sihala,2,13,6111213,33.55817170,73.14051550,23,19,611121319,SIHALA KHURD
ISLAMABAD CAPITAL TERRITORY,ISLAMABAD,ISLAMABAD DISTRICT,ISLAMABAD TEHSIL,6111,UC No.14 Sihala,UC No.14 Sihala,2,13,6111213,33.55817170,73.14051550,23,18,611121318,SIHALA MIRZIAN
ISLAMABAD CAPITAL TERRITORY,ISLAMABAD,ISLAMABAD DISTRICT,ISLAMABAD TEHSIL,6111,UC No.14 Sihala,UC No.14 Sihala,2,13,6111213,33.55817170,73.14051550,23,17,611121317,GAGRI
ISLAMABAD CAPITAL TERRITORY,ISLAMABAD,ISLAMABAD DISTRICT,ISLAMABAD TEHSIL,6111,UC No.14 Sihala,UC No.14 Sihala,2,13,6111213,33.55817170,73.14051550,23,16,611121316,HOON DHAMIAL
ISLAMABAD CAPITAL TERRITORY,ISLAMABAD,ISLAMABAD DISTRICT,ISLAMABAD TEHSIL,6111,UC No.14 Sihala,UC No.14 Sihala,2,13,6111213,33.55817170,73.14051550,23,15,611121315,DARWALA
ISLAMABAD CAPITAL TERRITORY,ISLAMABAD,ISLAMABAD DISTRICT,ISLAMABAD TEHSIL,6111,UC No.14 Sihala,UC No.14 Sihala,2,13,6111213,33.55817170,73.14051550,23,14,611121314,BOORA BANGIAL
ISLAMABAD CAPITAL TERRITORY,ISLAMABAD,ISLAMABAD DISTRICT,ISLAMABAD TEHSIL,6111,UC No.14 Sihala,UC No.14 Sihala,2,13,6111213,33.55817170,73.14051550,23,13,611121313,NARI SYEDAN
